antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski;complexidade
frozenset({'TV', 'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol', 'Internet'});0.2179685332699243;0.49680973328577654;0.16201006618317282;0.7432727272727272;1.4960913151940591;1.0;0.053721177304649814;1.9600187442834476;0.42401311917226076;0.29308861485517634;0.48980079761146145;0.5346867784417242;5
frozenset({'TV', 'Alta_Renda'});frozenset({'Alta_Escol', 'Celular_Net'});0.25058455197558754;0.45713946023065033;0.17128363650774778;0.6835362960619957;1.4952467584336662;1.0;0.05673154967548834;1.7153958985315323;0.4419632218763909;0.3192966903073286;0.41704419320574815;0.5291110175585227;4
frozenset({'Alta_Escol', 'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Urbano'});0.18677921769111877;0.5806681726310784;0.1621685887528237;0.8682367918523234;1.4952374398587;1.0;0.05371184173065936;3.1824652212394975;0.40728164497264663;0.2679237870752308;0.6857781843691216;0.5737580355658013;5
frozenset({'TV', 'Celular_Net', 'Alta_Renda', 'Internet'});frozenset({'Alta_Escol', 'Urbano'});0.22312051678357706;0.4687116078151627;0.15566916339713865;0.6976909413854351;1.4885292571217286;1.0;0.05108998723895826;1.7574345757935563;0.42245412060770854;0.29033927119521025;0.4309887754720785;0.5149061792409546;6
frozenset({'TV', 'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano'});0.22335830063805334;0.4687116078151627;0.15582768596678953;0.6976579134137687;1.4884587916774858;1.0;0.051137057755865065;1.7572425929306006;0.42254251239796237;0.29059197398566255;0.4309266096650475;0.5150587698463112;5
frozenset({'Alta_Escol', 'Alta_Renda'});frozenset({'TV', 'Celular_Net', 'Urbano', 'Internet'});0.1956564815915666;0.5365592676257283;0.15566916339713865;0.7956248734049017;1.4828275670748123;1.0;0.0506878649281409;2.267598509149434;0.40481802369734426;0.2700027495188342;0.5590048256050868;0.5428748489928711;6
frozenset({'Celular_Net', 'Alta_Renda', 'Internet'});frozenset({'Alta_Escol', 'Urbano'});0.23366226766535886;0.4687116078151627;0.1621685887528237;0.6940298507462687;1.4807182906806964;1.0;0.05264837158965645;1.7364059647016632;0.42364101135435384;0.3001980779106449;0.42409780873344755;0.5200089221601472;5
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano'});0.2341378353743114;0.4687116078151627;0.16240637260729995;0.6936357481381178;1.4798774695839287;1.0;0.05266325133864458;1.73417227681106;0.42340305465639055;0.30050597638776855;0.42335602213703766;0.5200655277428561;4
frozenset({'TV', 'TV_Assinatura', 'Internet'});frozenset({'Celular_Net', 'Urbano'});0.12630285736931796;0.5806681726310784;0.10850869892600959;0.8591151553184814;1.4795285772693993;1.0;0.035168649539284;2.976415442816823;0.3709626799983327;0.1813124958612012;0.6640253959126018;0.5229919210935841;5
frozenset({'Alta_Escol', 'Alta_Renda'});frozenset({'TV', 'Celular_Net', 'Urbano'});0.1956564815915666;0.5390559980977292;0.15582768596678953;0.7964350820336237;1.4774626102745496;1.0;0.05035788599815762;2.2643587436731454;0.4017735129443343;0.2691860067091121;0.5583738650979646;0.542755109021517;5
frozenset({'TV_Assinatura', 'Internet'});frozenset({'Celular_Net', 'Urbano'});0.12828438948995363;0.5806681726310784;0.10997503269527999;0.8572752548656163;1.4763599853961298;1.0;0.0354843706730551;2.938045725526405;0.3701418439716312;0.18360460500198492;0.659637700219648;0.5233345971297778;4
frozenset({'Celular_Net', 'Alta_Renda', 'Internet'});frozenset({'TV', 'Alta_Escol'});0.23366226766535886;0.49617564300717315;0.1710854832956842;0.73219131614654;1.475669607054764;1.0;0.05514795739031057;1.8812846161049441;0.4206259484778886;0.3061919285055677;0.4684483190691137;0.5384998114279026;5
frozenset({'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano', 'Internet'});0.2678635120675306;0.42923948797210004;0.16965878016882655;0.6333777185974256;1.4755811996462784;1.0;0.054681183402551264;1.5568080309913543;0.44021974025276456;0.3216620332106094;0.35766004536653523;0.5143160405377489;4
frozenset({'TV', 'Alta_Renda', 'Internet'});frozenset({'Alta_Escol', 'Urbano'});0.23429635794396228;0.4687116078151627;0.16201006618317282;0.6914749661705006;1.475267423808256;1.0;0.05219264354602139;1.7220268501078715;0.42073300488978504;0.2994652406417112;0.41928896176191577;0.5185623752810734;5
frozenset({'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol', 'Internet'});0.23152221297507233;0.49680973328577654;0.16965878016882655;0.7327969873331052;1.4750052952597514;1.0;0.0546362912909481;1.8831758732507968;0.41905743749062724;0.30368163439029583;0.4689821517977667;0.5371467387207964;4
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'TV', 'Alta_Escol'});0.2341378353743114;0.49617564300717315;0.17128363650774778;0.7315504400812457;1.4743779756046385;1.0;0.05511014548859117;1.8767933802734051;0.4201119816002007;0.30639444208138383;0.46717629627704493;0.5383790539064375;4
frozenset({'Alta_Renda'});frozenset({'TV', 'Urbano', 'Alta_Escol'});0.2678635120675306;0.42654460428803553;0.16787540126025444;0.6267199289835774;1.4692951749551806;1.0;0.05361966550220616;1.5362604120559522;0.43625958816325894;0.31883185307842843;0.3490686916408161;0.5101452474054745;4
frozenset({'Celular_Net', 'Alta_Renda', 'Alta_Escol'});frozenset({'TV', 'Urbano', 'Internet'});0.17885308920857607;0.5931914556334958;0.15566916339713865;0.8703744737425215;1.4672741245286642;1.0;0.04957503906495593;3.1383366850017644;0.38782840157585563;0.2525557770205105;0.6813598729610371;0.5664004918151411;6
